Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
22,Godolphin Road,Helston,Helston,,Cornwall,England,TR13 8PY,United Kingdom
20,Tresaven Estate,Lanner,Redruth,,Cornwall,England,TR16 6JG,United Kingdom
7,Greeb Way,,Penzance,,Cornwall,England,TR20 9NN,United Kingdom
6,North Terrace,Saint Ives,Saint Ives,,Cornwall,England,TR26 1QL,United Kingdom
2,Mount View,Carn Brea Village,Redruth,,Cornwall,England,TR15 3BQ,United Kingdom
3,Murdoch Close,Truro,Truro,,Cornwall,England,TR1 1RR,United Kingdom
,Cliff Road,Falmouth,Falmouth,,Cornwall,England,TR11 4LX,United Kingdom
1,The Sycamores,Wheal Busy,Truro,,Cornwall,England,TR4 8NU,United Kingdom
13,Northfield Drive,Truro,Truro,,Cornwall,England,TR1 2BS,United Kingdom
,Eglos Parc,Mullion,Helston,,Cornwall,England,TR12 7DG,United Kingdom
1,Chapel Cottages,Lelant,Saint Ives,,Cornwall,England,TR26 3EB,United Kingdom
12A,Trezela Road,Penzance,Penzance,,Cornwall,England,TR18 2RU,United Kingdom
1,Colepen,Probus,Truro,,Cornwall,England,TR2 4JP,United Kingdom
2,Wheal Harriet,Camborne,Camborne,,Cornwall,England,TR14 9AG,United Kingdom
20,Park View,Truro,Truro,,Cornwall,England,TR1 2BW,United Kingdom
2,The Parade,Helston,Helston,,Cornwall,England,TR13 8RT,United Kingdom
10,Fore Street,Pool,Redruth,,Cornwall,England,TR15 3PD,United Kingdom
11,Trencrom Lane,Carbis Bay,Saint Ives,,Cornwall,England,TR26 2TD,United Kingdom
2,Trevian Close,Perranporth,Perranporth,,Cornwall,England,TR6 0HJ,United Kingdom
3,Short Cross Road,Mount Hawke,Truro,,Cornwall,England,TR4 8EB,United Kingdom
6,Oliver's Terrace,Helston,Helston,,Cornwall,England,TR13 8RJ,United Kingdom
28,Castle View Park,Mawnan Smith,Falmouth,,Cornwall,England,TR11 5HB,United Kingdom
39A,Treslothan Road,Troon,Camborne,,Cornwall,England,TR14 9EJ,United Kingdom
1,Balcoath,Saint Day,Redruth,,Cornwall,England,TR16 5LS,United Kingdom
56,Chapel Street,Penzance,Penzance,,Cornwall,England,TR18 4AN,United Kingdom
9,Berkeley Hill,Falmouth,Falmouth,,Cornwall,England,TR11 2BW,United Kingdom
16,Fairfax Road,Tresillian,Truro,,Cornwall,England,TR2 4AZ,United Kingdom
23,Church Street,Falmouth,Falmouth,,Cornwall,England,TR11 3EG,United Kingdom
11,Tregassick Road,Portscatho,Truro,,Cornwall,England,TR2 5ED,United Kingdom
2,Penponds Road,Porthleven,Helston,,Cornwall,England,TR13 9LL,United Kingdom
11,Lansdowne Place,Penzance,Penzance,,Cornwall,England,TR18 4QB,United Kingdom
12,Trevarth Terrace,Trevarth,Redruth,,Cornwall,England,TR16 6AG,United Kingdom
5,The Old Workhouses,Redruth,Redruth,,Cornwall,England,TR16 4AE,United Kingdom
2,The Cot,Fiddlers Green,Newquay,,Cornwall,England,TR8 5NJ,United Kingdom
,Cliff Road,,Penzance,,Cornwall,England,TR19 6QT,United Kingdom
12,Park Lowen,Carbis Bay,Saint Ives,,Cornwall,England,TR26 2QB,United Kingdom
4+AC0-5,Aldreath Close,Madron,Penzance,,Cornwall,England,TR20 8SX,United Kingdom
3,Highertown,Truro,Truro,,Cornwall,England,TR1 3PN,United Kingdom
1,Golf Terrace,Newquay,Newquay,,Cornwall,England,TR7 1NL,United Kingdom
36,Camullas Way,Newquay,Newquay,,Cornwall,England,TR7 1PP,United Kingdom
2,Agar Way,,Redruth,,Cornwall,England,TR15 3SF,United Kingdom
22,Budock Terrace,Falmouth,Falmouth,,Cornwall,England,TR11 3ND,United Kingdom
9,Calartha Road,Pendeen,Penzance,,Cornwall,England,TR19 7DX,United Kingdom
4,Coastguard Cottages,Rosudgeon,Penzance,,Cornwall,England,TR20 9BB,United Kingdom
5,Coastguard Crescent,Penzance,Penzance,,Cornwall,England,TR18 3AQ,United Kingdom
16,Alexandra Road,Newquay,Newquay,,Cornwall,England,TR7 3ND,United Kingdom
41,Crembling Well,Barncoose,Redruth,,Cornwall,England,TR15 3EA,United Kingdom
,Rinsey Lane,,Helston,,Cornwall,England,TR13 9SF,United Kingdom
17,Aylwin Close,Newquay,Newquay,,Cornwall,England,TR7 3EF,United Kingdom
1,Smithfield Court,Newquay,Newquay,,Cornwall,England,TR8 4PX,United Kingdom
1,Oates Road,Marazion,Marazion,,Cornwall,England,TR17 0AN,United Kingdom
2,Machan Lodge,Gillan,Helston,,Cornwall,England,TR12 6HG,United Kingdom
20,Chynowen Parc,Cubert,Newquay,,Cornwall,England,TR8 5HD,United Kingdom
5,Tryhornek,Carbis Bay,Saint Ives,,Cornwall,England,TR26 2TR,United Kingdom
18,Tinney Drive,Truro,Truro,,Cornwall,England,TR1 1AG,United Kingdom
108,Hellis Wartha,Helston,Helston,,Cornwall,England,TR13 8WF,United Kingdom
3,Mitchell Lane,Camborne,Camborne,,Cornwall,England,TR14 8JL,United Kingdom
7,Rawley Lane,Newquay,Newquay,,Cornwall,England,TR7 2ET,United Kingdom
1,Parka Road,Fraddon,Saint Columb,,Cornwall,England,TR9 6JY,United Kingdom
28,Chapel Street,Saint Day,Redruth,,Cornwall,England,TR16 5NE,United Kingdom
2,Brook Road,Falmouth,Falmouth,,Cornwall,England,TR11 4HA,United Kingdom
3,Trennick Lane,Truro,Truro,,Cornwall,England,TR1 1QL,United Kingdom
1,Woodridge Close,Leedstown,Hayle,,Cornwall,England,TR27 6DQ,United Kingdom
2,Dracaena Avenue,Falmouth,Falmouth,,Cornwall,England,TR11 2EE,United Kingdom
,Wellington Road,Porthleven,Helston,,Cornwall,England,TR13 9BU,United Kingdom
1,Hillhead,Ladock,Truro,,Cornwall,England,TR2 4QA,United Kingdom
1,Skimmel Bridge,Tremethick Cross,Penzance,,Cornwall,England,TR20 8UG,United Kingdom
4B,Belyars Lane,Saint Ives,Saint Ives,,Cornwall,England,TR26 2DB,United Kingdom
2,Churchtown Cottages,Towednack,Saint Ives,,Cornwall,England,TR26 3AP,United Kingdom
8,Saint Michael's Close,Hayle,Hayle,,Cornwall,England,TR27 4QR,United Kingdom
,Grove Lane,,Penzance,,Cornwall,England,TR20 9HN,United Kingdom
,Eglos Parc,Mullion,Helston,,Cornwall,England,TR12 7DG,United Kingdom
26,Goldenbank Caravan Site,Goldenbank,Falmouth,,Cornwall,England,TR11 5BH,United Kingdom
2,Railway Terrace,Portreath,Redruth,,Cornwall,England,TR16 4LD,United Kingdom
9,Beach Road,Porthtowan,Truro,,Cornwall,England,TR4 8AA,United Kingdom
,Tregye Road,Carnon Downs,Truro,,Cornwall,England,TR3 6GN,United Kingdom
21A,Fore Street,Saint Just,Penzance,,Cornwall,England,TR19 7LL,United Kingdom
8,Hillside Cottages,Pendeen,Penzance,,Cornwall,England,TR19 7SW,United Kingdom
8,Gloucester Road,Newlyn,Penzance,,Cornwall,England,TR18 5DW,United Kingdom
